sector_name,start_hour,start_minute,start_second,end_hour,end_minute,end_second,rate
aorc,19,0,0,20,30,0,30
artc,18,0,0,19,30,0,30
pv,7,0,0,21,0,0,26
scmd,17,40,0,23,30,0,26
smds,21,0,0,23,59,0,26
tn,17,0,0,20,0,0,25
tpth,7,0,0,8,0,0,25
ua,8,0,0,17,40,0,31
ua,17,40,0,18,40,0,27
uaus,5,0,0,21,0,0,27
uaus,21,0,0,22,30,0,26
ubdx,16,30,0,18,30,0,55
ubdx,18,30,0,20,0,0,50
ubdx,20,0,0,21,0,0,40
ubdxv,20,0,0,22,0,0,40
ufxf,7,0,0,10,20,0,29
ugw,7,0,0,21,0,0,49
ugw,21,0,0,22,30,0,26
ugwa,21,0,0,23,59,0,26
uh,6,0,0,21,0,0,29
uttu,9,0,0,11,0,0,45
uttup,5,0,0,20,0,0,35
